Empresa;Código(s);CNPJ
3R PETROLEUM ÓLEO E GÁS S.A;RRRP3;12.091.809/0001-55
AERIS INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS DE GERAÇÃO DE ENERGIA S/A;AERI3;12.528.708/0001-07
AES BRASIL ENERGIA S.A.;AESB3;37.663.076/0001-07
AGROGALAXY PARTICIPAÇÕES S.A.;AGXY3;21.240.146/0001-84
ALIANSCE SONAE SHOPPING CENTERS S.A.;ALSO3;05.878.397/0001-32
ALLIED TECNOLOGIA S.A.;ALLD3;20.247.322/0001-47
ALLPARK EMPREENDIMENTOS PARTICIPAÇÕES SERVIÇOS S.A.;ALPK3;60.537.263/0001-66
ALPARGATAS S.A.;ALPA3;61.079.117/0001-05
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;APER3;11.721.921/0001-60
ALPHAVILLE S.A.;AVLL3;16.811.931/0001-00
ALUPAR INVESTIMENTO S/A;ALUP3;08.364.948/0001-38
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S/A;AMBP3;12.648.266/0001-24
AMERICANAS S.A.;AMER3;00.776.574/0001-56
ANIMA HOLDING S.A.;ANIM3;09.288.252/0001-32
AREZZO INDÚSTRIA E COMÉRCIO S.A.;ARZZ3;16.590.234/0001-76
ARMAC LOCAÇÃO, SERVIÇOS E SERVIÇOS S.A.;ARML3;00.242.184/0001-04
ATACADÃO S.A.;CRFB3;75.315.333/0001-09
AZUL S.A.;AZUL4;09.305.994/0001-29
B3 S.A. – BRASIL, BOLSA, BALCÃO;B3SA3;09.346.601/0001-25
BANCO ABC BRASIL S.A.;ABCB4;28.195.667/0001-06
BANCO BRADESCO S.A.;BBDC3;60.746.948/0001-12
BANCO BTG PACTUAL S.A.;BPAC3;30.306.294/0001-45
BANCO DO BRASIL S.A.;BBAS11;00.000.000/0001-91
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BRSR3;92.702.067/0001-96
BANCO INTER S.A.;BIDI3;00.416.968/0001-01
BANCO MERCANTIL DO BRASIL S.A.;BMEB3;17.184.037/0001-10
BANCO MODAL S.A.;MODL3;30.723.886/0001-62
BANCO PAN;BPAN4;59.285.411/0001-13
BANCO PINE S.A.;PINE3;62.144.175/0001-20
BB SEGURIDADE PARTICIPAÇÕES S.A.;BBSE3;17.344.597/0001-94
BEMOBI MOBILE TECH S.A.;BMOB3;09.042.817/0001-05
BK BRASIL OPERAÇÕES E ASSESSORIA A RESTAURANTES SA;BKBR3;13.574.594/0001-96
BLAU FARMACÊUTICA S.A.;BLAU3;58.430.828/0001-60
BOA SAFRA SEMENTES S.A.;SOJA3;10.807.374/0001-77
BOA VISTA SERVIÇOS S.A.;BOAS3;11.725.176/0001-27
BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI11;10.739.356/0001-03
BR MALLS PARTICIPAÇÕES S.A.;BRML3;06.977.745/0001-91
BR PROPERTIES S.A.;BRPR3;06.977.751/0001-49
BRADESPAR S.A.;BRAP3;03.847.461/0001-92
BRASIL BROKERS PARTICIPAÇÕES S.A.;BBRK3;08.613.550/0001-98
BRASILAGRO – COMPANHIA BRASILEIRA DE PROPRIEDADES AGRÍCOLAS;AGRO3;07.628.528/0001-59
BRASKEM S.A.;BRKM3;42.150.391/0001-70
BRF S.A.;BRFS3;01.838.723/0001-27
BRISANET PARTICIPAÇÕES S.A.;BRIT3;19.796.586/0001-70
C&A MODAS S.A.;CEAB3;45.242.914/0001-05
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;CXSE3;22.543.331/0001-00
CAMIL ALIMENTOS S.A.;CAML3;64.904.295/0001-03
CCR S.A.;CCRO3;02.846.056/0001-97
CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS ;ELET3;00.001.180/0001-26
CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.;CLSC3;83.878.892/0001-55
CENTRO DE IMAGEM DIAGNÓSTICOS S.A.;AALR3;42.771.949/0001-35
CIELO S.A.;CIEL3;01.027.058/0001-91
CLEAR SALE S.A.;CLSA3;03.802.115/0001-98
CM HOSPITALAR S.A.;VVEO3;12.420.164/0001-57
COGNA EDUCAÇÃO S.A.;COGN3;02.800.026/0001-40
COMPANHIA BRASILEIRA DE ALUMÍNIO;CBAV3;61.409.892-0001-73
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;PCAR3;47.508.411/0001-56
COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO;SBSP3;43.776.517/0001-80
COMPANHIA DE SANEAMENTO DE MINAS GERAIS – COPASA MG ;CSMG3;17.281.106/0001-03
COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR;SAPR3;76.484.013/0001-45
COMPANHIA ENERGÉTICA DE MINAS GERAIS – CEMIG;CMIG3;17.155.730/0001-64
COMPANHIA ENERGÉTICA DE SÃO PAULO – CESP;CESP3;60.933.603/0001-78
COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELÉTRICA – CEEE-T;EEEL3;92.715.812/0001-31
COMPANHIA FIAÇÃO TECIDOS CEDRO CACHOEIRA;CEDO3;17.245.234/0001-00
COMPANHIA LOCAÇÃO DAS AMÉRICAS;LCAM3;10.215.988/0001-60
COMPANHIA PARAENSE DE ENERGIA – COPEL;CPLE3;76.483.817/0001-20
COMPANHIA TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA;TRPL3;02.998.611/0001-04
CONSTRUTORA TENDA S.A.;TEND3;71.476.527/0001-35
COSAN S.A.;CSAN3;50.746.577/0001-15
CPFL ENERGIA S.A.;CPFE3;02.429.144/0001-93
CRUZEIRO DO SUL EDUCACIONAL S.A.;CSED3;62.984.091/0001-02
CSN MINERAÇÃO S.A.;CMIN3;08.902.291/0001-15
CSU CARDSYSTEM S.A.;CARD3;01.896.779/0001-38
CURY CONSTRUTORA E INCORPORADORA S.A.;CURY3;08.797.760/0001-83
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;CVCB3;10.760.260/0001-19
CYRELA BRAZIL REALTY S.A. EMPREENDIMENTOS E PARTICIPAÇÕES;CYRE3;73.178.600/0001-18
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;DMVF3;12.108.897/0001-50
DESKTOP – SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.;DESK3;08.170.849/0001-15
DEXCO S.A.;DXCO3;97.837.181/0001-47
DEXXOS PARTICIPAÇÕES S.A.;DEXP3;02.193.750/0001-52
DIAGNÓSTICOS DA AMÉRICA S.A.;DASA3;61.486.650/0001-83
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;PNVL3;92.665.611/0001-77
DIRECIONAL ENGENHARIA S.A.;DIRR3;16.614.075/0001-00
DOTZ S.A.;DOTZ3;18.174.270/0001-84
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;ECOR3;04.149.454/0001-80
EDP – ENERGIAS DO BRASIL S.A.;ENBR3;03.983.431/0001-03
ELETROMIDIA S.A.;ELMD3;09.347.516/0001-81
EMBRAER S.A.;EMBR3;07.689.002/0001-89
EMPREENDIMENTOS PAGUE MENOS S.A.;PGMN3;06.626.253/0001-51
ENAUTA PARTICIPAÇÕES S.A.;ENAT3;11.669.021/0001-10
ENERGISA S.A.;ENGI3;00.864.214/0001-06
ENEVA S.A.;ENEV3;04.423.567/0001-21
ENGIE BRASIL ENERGIA S.A.;EGIE3;02.474.103/0001-19
ENJOEI S.A.;ENJU3;16.922.038/0001-51
EQUATORIAL ENERGIA S.A.;EQTL3;03.220.438/0001-73
ETERNIT S.A.;ETER3;61.092.037/0001-81
